geoid,county,rural,black,income,collegewhite,nodiploma,highschoolgrad,collegedegree,homeprice,whitecollar,early_late,privateschool,moved
1400000US37063002021,Durham,Urban,-9.14,24009,4.5,3.670928542,-5.615393695,6.486028568,39200,-2.4,-20.3933119,1.446452842,-21.83976474
1400000US37063002022,Durham,Urban,11.63,14777,2.84,-2.788557702,-5.663843331,-15.65959639,23100,0.3,-13.85639123,-0.141469979,-13.71492125
1400000US37063002023,Durham,Urban,-11.51,17067,0.53,-0.460868426,13.37886878,21.42843997,20800,-10,-20.14331091,2.812428712,-22.95573962
1400000US37063002024,Durham,Urban,0.18,4530,4.71,-0.933622907,0.541013763,-13.42882142,3400,-1.9,-20.78631485,-3.56028303,-17.22603182
1400000US37063002025,Durham,Urban,-8.76,22903,2.23,-6.114484304,4.525076467,-1.080093825,21100,3.7,-18.40826023,-2.101392341,-16.30686789
1400000US37063002026,Durham,Urban,3.84,3456,2.64,-0.952321493,-10.09547532,19.88536913,12100,2.6,-18.79033533,0.509342717,-19.29967805
1400000US37063002027,Durham,Rural,15.39,3511,-4.75,0.553367496,7.706429109,-28.88441829,16400,-8,-16.91008672,-0.950830099,-15.95925662
1400000US37063002028,Durham,Rural,8.26,15977,0.75,0.654073141,-0.134431958,27.35385747,4200,-5.1,-19.8588622,-0.133357301,-19.7255049
1400000US37063002100,Durham,Rural,5.14,-228,-2.11,-3.419416024,7.585959545,-122.9537901,25600,-0.3,-7.382257829,1.204924578,-8.587182408
1400000US37063002200,Durham,Urban,1.44,25322,15.42,-11.5361663,-12.64072402,9.835883284,105000,-2.3,-29.29798964,0.683055282,-29.98104492
1400000US37063002300,Durham,Urban,6.51,-1068,5.65,-18.39167543,-1.181510678,-58.62819341,94100,19.3,-32.09864848,1.819860516,-33.91850899
1400000US37063980100,Durham,Rural,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!
1400000US37135010701,Orange,Rural,2.97,35772,-0.6,-9.720919564,4.976543268,42.40091281,85300,2.8,-11.99242925,-2.493379762,-9.499049487
1400000US37135010703,Orange,Urban,3.29,4947,4.07,-9.946862478,3.23950874,-5.666283654,6900,8.9,-21.58957474,1.228924735,-22.81849948
1400000US37135010704,Orange,Urban,-3.87,12315,0.67,0.227885072,5.290473371,-13.67752274,-49800,-8.5,-21.64388807,2.591989987,-24.23587806
1400000US37135010705,Orange,Urban,-3.56,26007,7.35,-3.391493972,-7.359724987,-10.44750019,22400,9.5,-11.45853176,2.85806883,-14.31660059
1400000US37135010706,Orange,Urban,-3.67,14183,9.01,0.891265597,-4.309611957,33.714485,1100,0.5,-33.11647142,0.625291237,-33.74176265
1400000US37135010801,Orange,Rural,0.28,-2408,0.81,-7.207878071,7.023958221,-0.587670559,47000,1.9,-7.643038478,0.081921487,-7.724959964
